NAME,TYPE,TSA,STREET,CITY,COUNTY,ADDRESS,ZIP,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,PFIZER_AVAILABLE,MODERNA_AVAILABLE,PFIZER_AVAILABLE2,MODERNA_AVAILABLE2,JJ_AVAILABLE,VACCINES_AVAILABLE,VACCINES_AVAILABLE2,PublicPhone,WEBSITE
CVS PHARMACY 3718,Federal Allocation,,Stacy Rd.,Allen,Collin,1550 Stacy Rd.,75002,05/03/2021      ,00:00:00        ,908,0,331,0,0,908,331,,
CVS PHARMACY 7453,Federal Allocation,,Coit Rd.,Plano,Collin,2200 Coit Rd.,75075,05/03/2021      ,00:00:00        ,654,0,243,0,0,654,243,,
CVS PHARMACY 5799,Federal Allocation,,El Dorado Pkwy.,Mckinney,Collin,6301 El Dorado Pkwy.,75070,05/03/2021      ,00:00:00        ,636,0,229,0,0,636,229,,
CVS PHARMACY 8394,Federal Allocation,,N. Alma Drive,Allen,Collin,1210 N. Alma Drive,75013,05/03/2021      ,00:00:00        ,939,0,353,0,0,939,353,,
Walmart Pharmacy 5211,Federal Allocation,,5001 MCKINNEY RANCH PKWY ,McKinney ,Collin,5001 MCKINNEY RANCH PKWY ,75070,05/03/2021      ,00:00:00        ,272,0,110,0,0,272,110,(972) 529-2187,
Walmart Pharmacy 2883,Federal Allocation,,8801 OHIO DR ,PLANO ,Collin,8801 OHIO DR ,75024,05/03/2021      ,00:00:00        ,238,0,114,0,0,238,114,(972) 731-9588,
CVS PHARMACY 17573,Federal Allocation,,,Wylie,Collin,3440 W Fm 544,75098,05/03/2021      ,00:00:00        ,0,110,0,0,0,110,0,,
CVS PHARMACY 17548,Federal Allocation,,,Allen,Collin,150 E Stacy Rd,75002,05/03/2021      ,00:00:00        ,0,210,0,0,0,210,0,,
CVS Pharmacy 17225,Federal Allocation,,8900 State Hwy 121,Mckinney,Collin,8900 State Hwy 121,75070,05/03/2021      ,00:00:00        ,0,75,0,0,25,100,0,,
CVS Pharmacy 16889,Federal Allocation,,3201 Preston Rd,Frisco,Collin,3201 Preston Rd,7503475034,05/03/2021      ,00:00:00        ,0,57,0,3,30,87,3,,
CVS Pharmacy 11297,Federal Allocation,,6125 Legacy Drive,Plano,Collin,6125 Legacy Drive,75024,05/03/2021      ,00:00:00        ,0,150,0,0,0,150,0,,
CVS Pharmacy 10887,Federal Allocation,,8516 Parker Road East,Wylie,Collin,8516 Parker Road East,75098,05/03/2021      ,00:00:00        ,0,0,0,0,140,140,0,,
CVS PHARMACY 10479,Federal Allocation,,,Plano,Collin,4000 W. Spring Creek Pkwy,75024,05/03/2021      ,00:00:00        ,0,150,0,0,0,150,0,,
CVS PHARMACY 06957,Federal Allocation,,,Plano,Collin,1501 Independence Pkwy,75075,05/03/2021      ,00:00:00        ,0,66,0,0,33,99,0,,
CVS PHARMACY 5965,Federal Allocation,, PRESTON RD, PLANO ,Collin,6761 PRESTON RD,75024,05/03/2021      ,00:00:00        ,0,0,0,0,140,140,0,,
CVS PHARMACY 5952,Federal Allocation,, W University Dr ,McKinney,Collin,2313 W University Dr , 75071,05/03/2021      ,00:00:00        ,0,0,0,0,100,100,0,,
CVS PHARMACY 1792,Federal Allocation,,4201 E PARK BLVD,PLANO,Collin,4201 E PARK BLVD PLANO 75074,75074,05/03/2021      ,00:00:00        ,0,0,0,0,152,152,0,972-424-0067,https://www.cvs.com/store-locator/cvs-pharmacy-address/4201+E+Park+Ave-Plano-TX-75074/storeid=1792?WT.mc_id=LS_GOOGLE_RX_1792
CVS PHARMACY 7825,Federal Allocation,,5401 Lebanon,Frisco,Collin,5401 Lebanon,75034,05/03/2021      ,00:00:00        ,0,5,0,4,0,5,4,,
CVS PHARMACY 3292,Federal Allocation,,750 W. Fm 544,Wylie,Collin,750 W. Fm 544,75098,05/03/2021      ,00:00:00        ,0,1756,0,1443,0,1756,1443,,
CVS PHARMACY 06821,Federal Allocation,,,Mckinney,Collin,159 S Central Expy,75070,05/03/2021      ,00:00:00        ,0,1846,0,1353,0,1846,1353,,
CVS PHARMACY 8393,Federal Allocation,,2101 W. Spring Creek Pkwy.,Plano,Collin,2101 W. Spring Creek Pkwy.,75023,05/03/2021      ,00:00:00        ,0,200,0,169,0,200,169,,
CVS PHARMACY 3724,Federal Allocation,,8940 Coit Rd.,Plano,Collin,8940 Coit Rd.,75025,05/03/2021      ,00:00:00        ,1827,0,1451,0,0,1827,1451,,
CVS PHARMACY 4625,Federal Allocation,,525 W. Parker Rd.,Plano,Collin,525 W. Parker Rd.,75023,05/03/2021      ,00:00:00        ,569,0,505,0,0,569,505,,
Walmart Pharmacy 3574,Federal Allocation,,1520 E Exchange Pkwy,Allen,Collin,1520 E EXCHANGE PKWY ALLEN 75002,75002,05/03/2021      ,00:00:00        ,0,50,0,0,0,50,0,,
Baylor Health Enterprises #113,Federal Allocation,,3800 Gaylord Pkwy,Frisco,Collin,3800 Gaylord Parkway, Frisco, TX, USA,9416,05/03/2021      ,00:00:00        ,0,0,0,0,215,215,0,469-764-1120,
Remedi SeniorCare of Dallas, LLC,Federal Allocation,,2700 Research Drive,Plano,Collin,2700 Research Drive,75074,05/03/2021      ,06:54:10        ,0,0,0,0,500,500,0,,
CVS Pharmacy 10641,Federal Allocation,,2451 E. UNIVERSITY DRIVE,PROSPER,Collin,2451 E. UNIVERSITY DRIVE,75078,05/03/2021      ,00:00:00        ,0,0,0,0,561,561,0,,
Walmart Pharmacy 1117,Federal Allocation,,6001 N CENTRAL EXPY,PLANO,Collin,6001 N CENTRAL EXPY,75023,05/03/2021      ,00:00:00        ,0,0,0,0,214,214,0,,
Kroger Pharmacy 560,Federal Allocation,,7500 Preston,Frisco,Collin,7500 Preston,75034,05/03/2021      ,00:00:00        ,0,0,0,0,39,39,0,,
Kroger Pharmacy 598,Federal Allocation,,Coit Rd,Plano,Collin,9700 Coit Rd,75025,05/03/2021      ,00:00:00        ,0,0,0,0,1318,1318,0,,
Walmart Pharmacy 6963,Federal Allocation,,521 S CENTRAL EXPY,ANNA,collin,521 S CENTRAL EXPY,75409,05/03/2021      ,00:00:00        ,0,0,0,0,365,365,0,,
FRISCORX AND COMPOUNDING LLC,Other,,DALLAS PKWY,Plano,Collin,5933 DALLAS PKWY STE 300 Plano 75093,75093,04/30/2021      ,14:36:17        ,6,0,0,0,0,6,0,,
Lisa E. Medwedeff Md,Medical Practice,,,Plano,Collin,5425 W Spring Creek Pkwy,75024,05/03/2021      ,17:25:32        ,0,100,0,0,0,100,0,,
Spring Creek Pharmacy,Other,,,Plano,Collin,4666 Mcdermott Road,75024,04/27/2021      ,08:56:37        ,0,50,0,50,0,50,50,,
Mi Doctor #10,Medical Practice,,,Plano,Collin,1120 E Parker Rd Ste 195,75074,05/03/2021      ,08:33:49        ,0,120,0,0,0,120,0, 469-298-1216 ,
Brookshires Pharmacy 79,Pharmacy,,1705 W Audie Murphy Pkwy,Farmersville,Collin,1705 W Audie Murphy Pkwy,75442,05/03/2021      ,13:48:23        ,0,50,0,0,200,250,0,(972) 782-8601,https://www.brookshires.com/covid-19-information
Texas Diagnostic Services PLLC,Other,,Suite 101,Plano,collin,5228 Village Creek Drive, Plano, TX, USA,75093,05/03/2021      ,11:46:15        ,0,200,0,0,0,200,0,,
Woori Pharmacy,Pharmacy,,3320 K Ave,Plano,Collin,3320 K Avenue, Plano, TX, USA,75074,04/30/2021      ,17:23:39        ,0,290,0,0,0,290,0,,
Kroger Pharmacy 589,Pharmacy,,4650 W University Dr,Prosper,Collin,4650 W University Dr,75078,04/30/2021      ,08:05:00        ,0,0,0,0,70,70,0,(972) 346-5244,http://www.kroger.com/stores/details/035/00589?cid=loc_03500589PP_gmb
Kroger Pharmacy 573,Pharmacy,,1250 N Preston Road,Prosper,Collin,1250 N Preston Road,75078,04/30/2021      ,08:05:00        ,36,0,0,0,200,236,0,(972) 346-5210,http://www.kroger.com/stores/details/035/00573?cid=loc_03500573PP_gmb
Kroger Pharmacy 567,Pharmacy,,2901 Lake Forest Dr,Mckinney,Collin,2901 Lake Forest Dr,75072,04/30/2021      ,08:05:00        ,0,0,0,0,60,60,0,(972) 540-1172,http://www.kroger.com/stores/details/026/00567?cid=loc_02600567PP_gmb
Kroger Pharmacy 565,Pharmacy,,1801 N Lake Forest Dr,Mckinney,Collin,1801 N Lake Forest Dr,75071,04/30/2021      ,08:05:00        ,174,0,72,0,90,264,72,(469) 678-3882,http://www.kroger.com/stores/details/026/00565?cid=loc_02600565PP_gmb
Kroger Pharmacy 548,Pharmacy,,1210 N Greenville Ave,Allen,Collin,1210 N Greenville Ave,75002,04/30/2021      ,08:05:00        ,0,0,0,0,100,100,0,(214) 383-7100,https://www.kroger.com/stores/details/035/00548?cid=loc_03500548_gmb
Kroger Pharmacy 547,Pharmacy,,3205 Main St,Frisco,Collin,3205 Main St,75034,04/30/2021      ,08:05:00        ,0,0,0,0,70,70,0,(972) 731-0615,http://www.kroger.com/stores/details/035/00547?cid=loc_03500547PP_gmb
Kroger Pharmacy 546,Pharmacy,,4851 Legacy Drive,Frisco,Collin,4851 Legacy Drive,75034,04/30/2021      ,08:05:00        ,0,0,0,0,100,100,0,(972) 377-0251,http://www.kroger.com/stores/details/035/00546?cid=loc_03500546PP_gmb
Kroger Pharmacy 544,Pharmacy,,1212 E Bethany Dr,Allen,Collin,1212 E Bethany Dr,75002,04/30/2021      ,08:05:00        ,72,0,0,0,0,72,0,(972) 244-7681,http://www.kroger.com/stores/details/035/00578?cid=loc_03500578PP_gmb
Kroger Pharmacy 540,Pharmacy,,3305 N Dallas Parkway,Plano,Collin,3305 N Dallas Parkway,75093,04/30/2021      ,08:05:00        ,96,0,0,0,0,96,0,(972) 608-4694,http://www.kroger.com/stores/details/025/00430?cid=loc_02500430PP_gmb
Kroger Pharmacy 522,Pharmacy,,7100 Independence Pkwy,Plano,Collin,7100 Independence Pkwy,75025,04/30/2021      ,08:05:00        ,66,0,0,0,80,146,0,(972) 491-2596,http://www.kroger.com/stores/details/035/00522?cid=loc_03500522PP_gmb
Kroger Pharmacy 488,Pharmacy,,1707 W University Dr,Mckinney,Collin,1707 W University Dr,75069,04/30/2021      ,08:05:00        ,60,0,0,0,80,140,0,(972) 548-9633,http://www.kroger.com/stores/details/011/00488?cid=loc_01100488PP_gmb
North Texas Hospital Physicians Group,Other,,,Plano ,Collin,6020 W PARKER RD STE 420,75093,05/03/2021      ,16:19:51        ,0,80,0,0,0,80,0,(972) 244-1300 ext1390,bgwarren@texasmed.com
986 Specialty Pharmacy,Pharmacy,,,Plano,Collin,6205 Coit Rd Suite 356,75024,05/03/2021      ,11:23:31        ,0,150,0,0,170,320,0,,
J. Blake Bolin, M.D., P.A.,Medical Practice,,,Frisco,Collin,3550 Parkwood Blvd Bldg D,75034,04/29/2021      ,12:56:38        ,0,53,0,0,0,53,0,,
Pediatric Pulmonary Associates of North Texas, P. A. ,Medical Practice,,Wade Blvd,Frisco,Collin,8501 Wade Blvd, Suite 1020,75034,05/03/2021      ,17:42:56        ,0,280,0,0,0,280,0,+19726685864,
Texas Diagnostic Imaging,Other,,5508 W Plano Pkwy,Plano,Collin,5508 W Plano Pkwy,75093,05/03/2021      ,09:35:14        ,0,190,0,0,0,190,0,,
JMTI Inc,Other,,5700 Tennyson Parkway,Plano,Collin,5700 TENNYSON PKWY STE 300 Plano 75024,75024,04/29/2021      ,11:14:33        ,918,0,0,0,0,918,0,,
Pediatric Urgent Care, PA Plano,Medical Practice,,7212 Independence Pkwy Suite A,Plano,Collin,7212 Independence Parkway, Plano, TX, USA,75025,05/02/2021      ,19:16:29        ,0,100,0,0,0,100,0,,
Premier Independent Physicians of McKinney,Medical Practice,,1820 N Lake Forest Dr,McKinney,Collin,1820 North Lake Forest Drive, McKinney, TX, USA,75071,05/03/2021      ,08:05:37        ,0,100,0,0,0,100,0,,
Cox Dental Services,Other,,15th,Plano,Collin,3105 West 15th Street,75075,04/30/2021      ,10:06:46        ,2282,0,0,0,0,2282,0,,
Internal Medicine Associates Of Plano,Medical Practice,,6124 W Parker Rd Ste 234,Plano,Collin,6124 W Parker Rd Ste 234,75093,03/25/2021      ,08:22:55        ,0,600,0,10,0,600,10,(972) 468-9999,http://www.planointernist.com/
Vitals Family Medicine,Community Clinic,,,Allen,Collin,1420 W Exchange Pkwy Ste 120,75013,05/03/2021      ,05:06:37        ,0,90,0,0,0,90,0,,
Tom Thumb Pharmacy 3853,Pharmacy,,3001 Hardin Boulevard,Mckinney,Collin,3001 Hardin Boulevard, McKinney, TX, USA,75070,05/02/2021      ,16:26:03        ,0,0,0,0,54,54,0,(469) 678-3680,
Collin County Healthcare Services,Vaccine Hub,E,825 N. McDonald St.,McKinney,Collin,825 N. McDonald St., Suite 145,75069,05/03/2021      ,09:26:54        ,0,0,0,0,0,0,0,214-491-4838,https://www.collincountytx.gov/healthcare_services/Pages/COVID19vaccines.aspx
CVS PHARMACY 10675,Federal Allocation,,,Mckinney,Collin,6161 W. University Dr.,75071,04/26/2021      ,00:00:00        ,0,100,0,0,0,100,0,,
McKinney Pharmacy,Pharmacy,,1601 W University Dr,McKinney,Collin,1601 West University Drive, McKinney, TX, USA,75069,05/03/2021      ,18:08:53        ,0,330,0,0,0,330,0,,
Walgreens Pharmacy 21173,Pharmacy,,1600 Coit Rd,Plano,Collin,1600 Coit Rd,75075,04/19/2021      ,08:51:45        ,0,0,0,0,100,100,0,(469) 974-3661,https://www.walgreens.com/locator/walgreens-1600+coit+rd-plano-tx-75075/id=21173
Tom Thumb Pharmacy 2554,Pharmacy,,3100 Independence Parkway,Plano,Collin,3100 Independence Parkway,75075,05/02/2021      ,15:13:07        ,0,0,89,0,15,15,89,(972) 596-4422,https://local.pharmacy.tomthumb.com/tx/plano/3100-independence-pkwy.html
Celina Drug,Pharmacy,,701 N Preston Rd Ste 210,Celina,Collin,701 N Preston Rd Ste 210,75009,04/28/2021      ,16:12:01        ,0,100,0,50,0,100,50,(972) 382-2832,http://www.celinadrug.com/
Q Day Walk-In Clinic And Spa,Community Clinic,,3560 E Park Blvd,Plano,Collin,3560 E Park Blvd Plano 75074,75074,04/28/2021      ,16:45:37        ,1089,0,0,0,0,1089,0,,
Village Health Partners- McKinney,Community Clinic,,,Mckinney,Collin,7300 Eldorado Parkway Ste 200,75070,05/02/2021      ,08:01:31        ,0,15,0,0,0,15,0,+1 214 964 0304,https://villagehealthpartners.com/mckinney-medical-village
Tom Thumb Pharmacy 3582,Pharmacy,,18212 Preston Rd,Dallas,Collin,18212 Preston Rd,75252,04/30/2021      ,19:08:48        ,192,0,192,0,100,292,192,(972) 985-2250,https://local.pharmacy.tomthumb.com/tx/dallas/18212-preston-rd.html
Tom Thumb Pharmacy 2595,Pharmacy,,3945 Legacy Drive,Plano,Collin,3945 Legacy Drive,75023,05/02/2021      ,16:29:29        ,0,0,180,0,2040,2040,180,(972) 491-2210,https://local.pharmacy.tomthumb.com/tx/plano/3945-legacy-dr.html
Tom Thumb Pharmacy 2581,Pharmacy,,4848 Preston Rd,Frisco,Collin,4848 Preston Rd,75034,05/02/2021      ,14:16:13        ,0,0,600,0,85,85,600,(972) 377-1812,https://local.pharmacy.tomthumb.com/tx/frisco/4848-preston-rd.html
Albertsons Pharmacy 0296,Pharmacy,,6800 W Virginia Parkway,Mckinney,Collin,6800 W Virginia Parkway,75069,05/02/2021      ,16:12:44        ,198,30,0,0,45,273,0,(972) 542-0010,https://local.pharmacy.tomthumb.com/tx/mckinney/6800-w-virginia-pkwy.html
Questcare Medical Clinics- Mckinney,Other,,W UNIVERSITY DR,Mckinney,Collin,5291 W UNIVERSITY DR MCKINNEY 75071,75071,05/03/2021      ,18:23:59        ,0,152,0,0,0,152,0,9725428464,Healthcaremedicalclinic.com
Fresenius Kidney Care Renner Rd.,Other,,3517 Spectrum Blvd,Richardson,Collin,3517 Spectrum Boulevard, Richardson, TX, USA,75082,05/03/2021      ,10:10:57        ,0,10,0,0,0,10,0,972-908-2769,
Market Street Pharmacy 566,Pharmacy,,1929 Preston Rd,Plano,Collin,1929 Preston Rd,75093,05/03/2021      ,10:40:51        ,0,200,0,0,265,465,0,(972) 713-5515,https://local.pharmacy.marketstreetunited.com/tx/plano/1929-preston-rd.html
Frisco Fire Department,Other,,8601 Gary Burns Dr,Frisco,Collin,8601 Gary Burns Dr,75034,04/30/2021      ,07:24:53        ,0,0,2646,0,100,100,2646,(972) 292-6306,http://www.friscofire.com/
Fresenius West Plano,Other,,4405 Tradition Trail,Plano,Collin,4405 Tradition Trail,75093,05/03/2021      ,10:19:02        ,0,60,0,0,0,60,0,(972) 943-7656,
Accel Rehabilitation Hospital,Other,,Marsh Lane,Plano,Collin,2301 Marsh Lane,75093,05/03/2021      ,09:36:23        ,0,100,0,100,0,100,100,,
Walgreens Pharmacy 05710,Pharmacy,,18410 Preston Rd,Dallas,Collin,18410 Preston Rd,75252,05/03/2021      ,11:34:16        ,48,310,0,0,252,610,0,(972) 599-1004,Walgreens.com/covid19vac
Wylie Isd - Wylie,Other,,951 S Ballard Ave,Wylie,Collin,951 S Ballard Ave Wylie 75098,75098,05/03/2021      ,15:13:04        ,0,50,0,462,0,50,462,,
Walgreens Pharmacy 09908,Pharmacy,,1651 W Univeristy Dr,Mckinney,Collin,1651 W Univeristy Dr,75069,05/03/2021      ,08:37:08        ,0,0,0,0,125,125,0,(972) 548-1662,Walgreens.com/covid19vac
Walgreens Pharmacy 06663,Pharmacy,,4201 E Renner Rd,Richardson,Collin,4201 E Renner Rd,75082,05/03/2021      ,09:28:23        ,18,470,0,0,250,738,0,(972) 234-0889,Walgreens.com/covid19vac
Walgreens Pharmacy 04786,Pharmacy,,5049 Preston Rd,Frisco,Collin,5049 Preston Rd,75034,05/03/2021      ,08:32:46        ,0,237,36,0,215,452,36,214-387-9505,https://www.walgreens.com/locator/walgreens-112+bennett+drive-caribou-me-04736/id=18248?o=acs
Walgreens Pharmacy 04787,Pharmacy,,1226 W Mcdermott Dr,Allen,Collin,1226 W Mcdermott Dr,75013,05/03/2021      ,10:19:54        ,0,370,13,0,190,560,13,,
Market Street Pharmacy 685,Pharmacy,,4268 Legacy Dr,Frisco,Collin,4268 Legacy Dr,75034,05/03/2021      ,08:46:35        ,0,0,0,0,400,400,0,(214) 705-0362,https://local.pharmacy.marketstreetunited.com/tx/frisco/4268-legacy-dr.html
Beaker Pharmacy,Pharmacy,,Eldorado Pkwy,Mckinney,collin,7810 Eldorado pkwy ste 200,75070,05/01/2021      ,23:10:37        ,1106,0,0,0,70,1176,0,,
City Of Plano,Other,,1901 K Avenue,Plano,Collin,1901 K Avenue,75074,04/30/2021      ,09:00:11        ,0,0,0,300,0,0,300,(972) 941-7159,http://www.plano.gov/
Brookshires Pharmacy 131,Pharmacy,,1325 W White St,Anna,Collin,1325 W White St,75409,05/03/2021      ,18:17:56        ,0,10,0,0,190,200,0,(972) 924-4220,https://www.brookshires.com/covid-19-information
Brookshires Pharmacy 73,Pharmacy,,675 E Sunset Blvd,Celina,Collin,675 E Sunset Blvd,75009,05/03/2021      ,18:57:22        ,0,70,0,0,105,175,0,(972) 382-3989,https://www.brookshires.com/covid-19-information
LEGENT HOSPITAL FOR SPECIAL SURGERY,Hospital,E,4100 Mapleshade Lane, Plano,Collin,4100 Mapleshade Lane, Plano, TX, 75075,75075,05/03/2021      ,10:07:57        ,0,0,0,300,0,0,300,(972) 265-1050,
Market Street Pharmacy 563,Pharmacy,,985 W Bethany Dr,Allen,Collin,985 W Bethany Dr,75013,05/03/2021      ,08:30:10        ,6,200,0,0,255,461,0,(972) 908-3840,https://local.pharmacy.marketstreetunited.com/tx/allen/985-w-bethany-dr.html
Cigna Healthcare Of Texas Plano,Other,,1640 DALLAS PKWY,Plano,Collin,1640 DALLAS PKWY PLANO 75093,75093,05/03/2021      ,16:28:06        ,0,0,0,0,95,95,0,,
Fairview Dermatology,Medical Practice,,331 Town Pl,Mckinney,Collin,331 Town Pl,75069,05/03/2021      ,06:52:52        ,0,40,0,0,0,40,0,(972) 747-0000,https://www.fairviewderm.com/
Market Street Pharmacy 561,Pharmacy,,6100 Eldorado Pkwy,Mckinney,Collin,6100 Eldorado Pkwy,75070,05/03/2021      ,08:53:32        ,400,0,0,0,0,400,0,(214) 872-1515,https://local.pharmacy.marketstreetunited.com/tx/frisco/11999-dallas-pkwy.html
Jeffrey A George Md,Medical Practice,,5236 W University Dr.,McKinney,Collin,5236 W University Dr Ste 3200 McKinney 75071,75071,04/30/2021      ,16:34:03        ,0,80,0,0,0,80,0,,
Advanced Family Medical Care,Medical Practice,,4002 W Park Blvd,Plano,Collin,4002 West Park Boulevard, Plano, TX, USA,75093,04/30/2021      ,17:07:19        ,0,364,0,0,0,364,0,(972) 985-8000,
DRIVEN MD PLLC,Medical Practice,E,5729 Lebanon Rd Ste 144,Frisco,Collin,5729 Lebanon Rd Ste 144,75034,05/03/2021      ,13:53:28        ,45,0,0,940,0,45,940,2144940177,
Murphy Fire-Rescue,Other,E,206 N. Murphy Rd. ,Murphy,Collin,206 N. Murphy Rd.,75094,04/29/2021      ,17:40:45        ,0,0,0,20,0,0,20,,
Ann H Snyder, MD PA,Medical Practice,,,McKinney,Collin,4561 Medical Center Drive,75069,04/28/2021      ,17:34:11        ,0,60,0,0,0,60,0,,
CaringRX Pharmacy,Pharmacy,,Parker Road,Plano,Collin,6020 W. Parker Rd. STE 270,75093,05/03/2021      ,17:14:45        ,0,1730,0,0,0,1730,0,(972) 378-4107,CARINGRXPHARMACY@GMAIL.COM
